2-level
homogeneous many small
&& tree_15 2245.123210 58
&& ./size_20000/random_tree_1_20000 9366.277677 1142426
&& ./size_20000/random_tree_11_20000 22940.569632 675631
&& ./size_20000/random_tree_0_20000 22268.127657 816314
&& ./size_20000/random_tree_2_20000 6542.582967 874419
&& ./size_20000/random_tree_3_20000 5277.353009 628949
&& ./size_20000/random_tree_4_20000 5958.926822 731495
&& ./size_4000/random_tree_8_4000 13459.480928 418546
&& ./size_4000/random_tree_7_4000 16228.896473 399311
&& ./size_4000/random_tree_6_4000 17996.088581 721075
&& ./size_4000/random_tree_5_4000 34838.782601 506713
&& ./size_10000/random_tree_9_10000 23499.310590 2785579
&& ./size_10000/random_tree_10_10000 20270.564279 1818843
&& ./size_50000/random_tree_13_50000 29197.880525 6570994
&& ./size_50000/random_tree_11_50000 34993.704700 6005373
&& ./size_50000/random_tree_14_50000 8415.434592 5186187
&& ./size_50000/random_tree_10_50000 12635.437033 5720063
&& ./size_50000/random_tree_12_50000 22698.392153 6139287
&& ./size_2000/random_tree_4_2000 26679.991351 171276
&& ./size_2000/random_tree_1_2000 2562.512447 13440
&& ./size_2000/random_tree_2_2000 7966.159868 121594
&& ./size_2000/random_tree_3_2000 16832.205450 165517
&& ./size_30000/random_tree_9_30000 9142.624051 1353289
&& ./size_30000/random_tree_6_30000 17140.096650 3245757
&& ./size_30000/random_tree_5_30000 16949.610386 3156099
&& ./size_30000/random_tree_7_30000 9032.298842 1484107
&& ./size_30000/random_tree_8_30000 12416.026598 1285022
&& ./size_30000/random_tree_8_30000 12416.026598 1286309
2-level
heterogeneous
/work/kulagins/tree-scheduler/real_Trees/random_trees
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 8793.493491 353002
&& size_10000/random_tree_2 12010.541734 326391
&& size_10000/random_tree_3 3439.209182 158026
&& size_15000/random_tree_1 18486.593764 643660
&& size_15000/random_tree_2 6189.836883 325730
&& size_15000/random_tree_3 18105.309653 506127
&& size_20000/random_tree_1 9561.692479 830895
&& size_20000/random_tree_2 16356.201945 1286991
&& size_20000/random_tree_3 11635.687670 855619
&& size_25000/random_tree_1 7663.315604 1972186
&& size_25000/random_tree_2 11362.251464 1257134
&& size_25000/random_tree_3 21238.921189 1044287
&& size_5000/random_tree_1 7178.899456 53026
&& size_5000/random_tree_2 5013.587893 78422
&& size_5000/random_tree_3 7190.519630 122144
&& size_5000/random_tree_3 7190.519630 122145
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 101690.747507 535333
&& size_10000/random_tree_10 129944.723733 674459
&& size_10000/random_tree_2 159501.260946 614151
&& size_10000/random_tree_3 139022.854149 592813
&& size_10000/random_tree_4 157259.791022 634412
&& size_10000/random_tree_5 115149.331572 694774
&& size_10000/random_tree_6 124336.287877 528831
&& size_10000/random_tree_7 165841.647260 591729
&& size_10000/random_tree_8 153742.393617 612218
&& size_10000/random_tree_9 159110.701777 576767
&& size_2000/random_tree_1 109398.918629 42822
&& size_2000/random_tree_10 62898.651275 26991
&& size_2000/random_tree_2 70128.747163 29795
&& size_2000/random_tree_3 97943.068849 29771
&& size_2000/random_tree_4 102187.803382 27913
&& size_2000/random_tree_5 47287.710782 31802
&& size_2000/random_tree_6 100515.594472 24663
&& size_2000/random_tree_7 104111.139211 35354
&& size_2000/random_tree_8 69036.439333 34349
&& size_2000/random_tree_9 98630.701177 28675
&& size_20000/random_tree_1 179619.450678 2078945
&& size_20000/random_tree_2 193128.621245 2248228
&& size_20000/random_tree_3 241050.726046 2432313
&& size_20000/random_tree_4 155983.968986 2323711
&& size_20000/random_tree_5 180885.606233 2205268
&& size_30000/random_tree_1 332049.627876 5183227
&& size_30000/random_tree_2 268254.708669 4762439
&& size_30000/random_tree_3 303173.277037 5286971
&& size_30000/random_tree_4 238656.326091 4715080
&& size_30000/random_tree_5 290313.321511 5745846
&& size_4000/random_tree_1 125651.613085 103632
&& size_4000/random_tree_10 117325.081200 94321
&& size_4000/random_tree_2 71532.950602 103614
&& size_4000/random_tree_3 100958.618402 114647
&& size_4000/random_tree_4 88627.675326 100471
&& size_4000/random_tree_5 66042.301793 107382
&& size_4000/random_tree_6 122992.408725 114482
&& size_4000/random_tree_7 102573.730156 96341
&& size_4000/random_tree_8 120411.571945 104864
&& size_4000/random_tree_9 98122.463488 128252
&& size_50000/random_tree_1 345513.968673 14460129
&& size_50000/random_tree_2 480333.637330 14079735
&& size_50000/random_tree_3 316296.774393 14540841
&& size_50000/random_tree_4 367624.543138 14422771
&& size_50000/random_tree_5 490315.529045 14045022
&& size_50000/random_tree_5 490315.529045 14090502
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 33332.999684 334755
&& size_10000/random_tree_10 51015.191898 415598
&& size_10000/random_tree_2 52404.826281 271576
&& size_10000/random_tree_3 47216.256699 1104618
&& size_10000/random_tree_4 21401.721654 599978
&& size_10000/random_tree_5 19841.858736 1390967
&& size_10000/random_tree_6 15742.423375 2176369
&& size_10000/random_tree_7 48322.883854 272825
&& size_10000/random_tree_8 43560.317900 1185772
&& size_10000/random_tree_9 49949.063116 863285
&& size_2000/random_tree_1 33211.271928 33729
&& size_2000/random_tree_10 15520.711752 25687
&& size_2000/random_tree_2 31165.197722 33647
&& size_2000/random_tree_3 45343.357622 35571
&& size_2000/random_tree_4 26909.628824 60784
&& size_2000/random_tree_5 33141.060449 57463
&& size_2000/random_tree_6 34092.952041 74244
&& size_2000/random_tree_7 46978.566464 15431
&& size_2000/random_tree_8 27297.722652 23872
&& size_2000/random_tree_9 32401.321527 37346
&& size_20000/random_tree_1 45616.494060 4320765
&& size_20000/random_tree_2 50651.718847 2454529
&& size_20000/random_tree_3 22105.661348 5595373
&& size_20000/random_tree_4 36957.226963 1434146
&& size_20000/random_tree_5 24421.283284 7341516
&& size_30000/random_tree_1 59459.215234 5257912
&& size_30000/random_tree_2 63699.212632 17380751
&& size_30000/random_tree_3 39573.806589 3568193
&& size_30000/random_tree_4 29095.792088 4572579
&& size_30000/random_tree_5 42102.083078 14003286
